strata,bracket,threshold,basic_clothing,crude_goods,staple,condiments,heating,household,standard_clothing,intoxicants,luxury_drinks,luxury_food,luxury_goods,protein,spices,precious,treasures,medicine,ritual,weapons,mounts,knowledge
nobles,0,0.0,0.035307,0.000803,0.005763,0.047379,0.002026,0.014487,0.097342,0.037859,0.086363,0.005912,0.114218,0.012924,0.09525,0.085635,0.090428,0.000252,2.2e-05,0.100009,0.160237,0.007782
nobles,1,3.0,0.013074,0.000264,0.001667,0.024108,0.000839,0.010579,0.07721,0.017424,0.107696,0.006384,0.163598,0.007237,0.110613,0.131229,0.120928,0.000234,1.4e-05,0.061391,0.137709,0.007802
nobles,2,8.0,0.006335,0.000121,0.000721,0.013852,0.00043,0.007637,0.059017,0.009459,0.116203,0.006139,0.198118,0.004402,0.112668,0.168376,0.138227,0.0002,1e-05,0.039532,0.111467,0.007083
nobles,3,25.0,0.00457,8.5e-05,0.000493,0.010806,0.000319,0.006587,0.052166,0.007191,0.118223,0.005967,0.21078,0.003523,0.112047,0.183115,0.143829,0.000186,8e-06,0.032447,0.100932,0.006725
clergy,0,0.0,0.112366,0.007719,0.055713,0.096594,0.019222,0.115004,0.112286,0.040843,0.086661,0.012243,0.074626,0.024988,0.117921,0.0,0.0,0.000905,0.026385,0.0,0.0,0.096525
clergy,1,0.5,0.045291,0.002751,0.017407,0.059793,0.008697,0.131196,0.138573,0.058721,0.09123,0.01187,0.099474,0.020418,0.105085,0.0,0.0,0.001401,0.047252,0.0,0.0,0.160841
clergy,2,1.5,0.023449,0.001344,0.008028,0.039014,0.004771,0.128314,0.143596,0.068309,0.084212,0.010342,0.109216,0.015846,0.086409,0.0,0.0,0.001727,0.06538,0.0,0.0,0.210042
clergy,3,4.5,0.017562,0.000981,0.005708,0.032317,0.003666,0.125488,0.143655,0.071455,0.08049,0.009658,0.11174,0.014116,0.078824,0.0,0.0,0.001847,0.072986,0.0,0.0,0.229507
burghers,0,0.0,0.054873,0.008314,0.05236,0.099958,0.018774,0.099508,0.097831,0.079838,0.060916,0.008452,0.102325,0.029028,0.04341,0.065554,0.042333,0.000769,0.000194,0.0,0.0,0.135562
burghers,1,0.5,0.022051,0.002955,0.01631,0.055834,0.008469,0.088411,0.094572,0.040181,0.1012,0.01305,0.182704,0.017915,0.053412,0.08712,0.06068,0.000808,0.000144,0.0,0.0,0.154184
burghers,2,1.5,0.011151,0.00141,0.007347,0.033584,0.004538,0.071006,0.080476,0.022811,0.129082,0.015711,0.246914,0.011417,0.05406,0.093426,0.068946,0.000728,0.000103,0.0,0.0,0.147288
burghers,3,4.5,0.008247,0.001016,0.005158,0.026798,0.003443,0.063962,0.074213,0.017751,0.139276,0.016588,0.272185,0.009339,0.053405,0.094387,0.071217,0.000687,8.9e-05,0.0,0.0,0.142239
commoners,0,0.0,0.014337,0.130984,0.50874,0.030716,0.055978,0.066529,0.007998,0.056169,0.005506,0.035043,0.0,0.054253,0.0,0.0,0.0,0.010137,0.003702,0.019909,0.0,0.0
commoners,1,0.05,0.01234,0.098772,0.333187,0.037829,0.054603,0.124471,0.016492,0.061721,0.019572,0.10453,0.0,0.074565,0.0,0.0,0.0,0.025231,0.006268,0.03042,0.0,0.0
commoners,2,0.2,0.009368,0.069705,0.218591,0.035744,0.044588,0.15747,0.022443,0.054216,0.041265,0.190461,0.0,0.075788,0.0,0.0,0.0,0.039731,0.007371,0.03326,0.0,0.0
commoners,3,0.8,0.00804,0.057961,0.176023,0.033648,0.039482,0.166688,0.024439,0.049509,0.052814,0.231346,0.0,0.073512,0.0,0.0,0.0,0.04573,0.007582,0.033228,0.0,0.0
tribesmen,0,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
tribesmen,1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
tribesmen,2,0.2,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
tribesmen,3,0.8,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
