good,group,price,nobles,clergy,burghers,laborers,peasants,soldiers,tribesmen
amber,treasures,4.0,0.15000000000000002,0.0,0.015,0.0,0.0,0.0,0.0
beer,intoxicants,2.0,0.023999999999999997,0.007999999999999997,0.023999999999999997,9.99999999999994e-05,9.999999999999983e-05,0.0002500000000000002,0.0
beeswax,heating,2.0,0.003,0.002,0.006,0.00011999999999999999,0.00011999999999999999,0.00011999999999999999,0.0
beeswax,household,2.0,0.003,0.002,0.006,0.00011999999999999999,0.00011999999999999999,0.00011999999999999999,0.0
books,knowledge,3.0,0.015,0.009999999999999995,0.06,0.0,0.0,0.0,0.0
chili,spices,5.0,0.07500000000000001,0.005,0.0075,0.0,0.0,0.0,0.0
cloth,basic_clothing,3.0,0.075,0.01999999999999999,0.03,4.0000000000000105e-05,1.999999999999962e-05,4.99999999999997e-05,0.0
cloth,standard_clothing,3.0,0.075,0.01999999999999999,0.03,4.0000000000000105e-05,1.999999999999962e-05,4.99999999999997e-05,0.0
cloves,spices,5.0,0.07500000000000001,0.005,0.0075,0.0,0.0,0.0,0.0
coal,heating,2.0,0.004,0.0025,0.0075,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.0
cocoa,luxury_drinks,4.0,0.15000000000000002,0.01,0.03,0.0,0.0,0.0,0.0
coffee,luxury_drinks,3.0,0.022,0.0015,0.006,0.0,0.0,0.00025,0.0
elephants,mounts,5.0,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0
fine_cloth,standard_clothing,6.0,0.15,0.010000000000000002,0.03,0.0,0.0,0.0,0.0
fine_cloth,luxury_goods,6.0,0.15,0.010000000000000002,0.03,0.0,0.0,0.0,0.0
firearms,weapons,3.0,0.18000000000000002,0.0,0.0,0.0,0.0,0.00025,0.0
fish,luxury_food,1.0,0.009000000000000001,0.003,0.009000000000000001,0.0002000000000000001,0.0002000000000000001,0.0002000000000000001,0.0
fish,protein,1.0,0.009000000000000001,0.003,0.009000000000000001,0.0002000000000000001,0.0002000000000000001,0.0002000000000000001,0.0
fruit,luxury_food,1.0,0.03,0.006,0.018000000000000002,0.00030000000000000014,0.00030000000000000014,0.00030000000000000014,0.0
fur,luxury_goods,2.0,0.15000000000000002,0.010000000000000002,0.030000000000000002,0.0,0.0,0.0,0.0
furniture,household,3.0,0.03,0.009999999999999998,0.03,5.000000000000002e-05,5.000000000000002e-05,5.000000000000002e-05,0.0
gems,treasures,4.0,0.07500000000000001,0.0,0.009,0.0,0.0,0.0,0.0
glass,household,3.0,0.015,0.0,0.015000000000000001,0.0,0.0,0.0,0.0
glass,luxury_goods,3.0,0.015,0.0,0.015000000000000001,0.0,0.0,0.0,0.0
goods_gold,precious,8.0,0.04,0.0,0.006,0.0,0.0,0.0,0.0
horses,mounts,3.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
incense,ritual,2.5,0.0,0.015,0.0,0.0,0.0,0.0,0.0
ivory,treasures,4.0,0.07500000000000001,0.0,0.006,0.0,0.0,0.0,0.0
jewelry,precious,5.0,0.18,0.0,0.024,0.0,0.0,0.0,0.0
lacquerware,luxury_goods,5.0,0.060000000000000005,0.0,0.03,0.0,0.0,0.0,0.0
leather,basic_clothing,3.0,0.015000000000000001,0.0,0.0,0.0,0.0,0.0,0.0
legumes,staple,1.0,0.003,0.002,0.006,0.00019999999999999998,0.00019999999999999998,0.00019999999999999998,0.0
liquor,intoxicants,2.5,0.012,0.004,0.012,5.000000000000002e-05,5.000000000000002e-05,0.00010000000000000005,0.0
livestock,protein,1.5,0.045,0.01,0.03,0.00014999999999999996,0.00015000000000000007,0.00014999999999999996,0.0
lumber,crude_goods,1.5,0.002,0.0012000000000000001,0.00375,5.9999999999999995e-05,5.9999999999999995e-05,5.9999999999999995e-05,0.0
lumber,heating,1.5,0.002,0.0012000000000000001,0.00375,5.9999999999999995e-05,5.9999999999999995e-05,5.9999999999999995e-05,0.0
maize,staple,1.0,0.024,0.016,0.048,0.002,0.002,0.002,0.0
marble,luxury_goods,5.0,0.07500000000000001,0.0,0.003,0.0,0.0,0.0,0.0
masonry,crude_goods,1.0,2.5000000000000005e-05,1.5000000000000002e-05,5.500000000000001e-05,1.0000000000000026e-05,9.999999999999999e-06,1e-05,0.0
medicaments,medicine,1.0,0.003,0.001,0.0018,0.00010000000000000005,0.00010000000000000005,0.00010000000000000005,0.0
mercury,medicine,3.0,8e-05,5e-05,0.00015000000000000001,9.999999999999999e-06,9.999999999999999e-06,9.999999999999999e-06,0.0
mercury,ritual,3.0,8e-05,5e-05,0.00015000000000000001,9.999999999999999e-06,9.999999999999999e-06,9.999999999999999e-06,0.0
millet,staple,1.0,0.006,0.004,0.012,0.00025,0.00025,0.00025,0.0
olives,condiments,1.0,0.003,0.002,0.006,0.00025,0.00025,0.00025,0.0
paper,household,2.0,0.015000000000000001,0.04000000000000001,0.06,0.0,0.0,0.0,0.0
paper,knowledge,2.0,0.015000000000000001,0.04000000000000001,0.06,0.0,0.0,0.0,0.0
pearls,treasures,4.0,0.07500000000000001,0.0,0.009,0.0,0.0,0.0,0.0
pepper,spices,5.0,0.07500000000000001,0.005,0.0075,0.0,0.0,0.0,0.0
porcelain,luxury_goods,3.0,0.03,0.0014999999999999996,0.0045000000000000005,0.0,0.0,0.0,0.0
potato,staple,1.0,0.0015,0.001,0.0,0.00015000000000000007,0.00015000000000000007,0.00015,0.0
pottery,crude_goods,1.0,0.003,0.002,0.0072,0.00035000000000000027,0.00030000000000000014,0.00030000000000000014,0.0
pottery,household,1.0,0.003,0.002,0.0072,0.00035000000000000027,0.00030000000000000014,0.00030000000000000014,0.0
rice,staple,1.0,0.0015,0.001,0.003,0.00011999999999999999,0.00011999999999999999,0.00011999999999999999,0.0
saffron,spices,5.0,0.060000000000000005,0.005,0.006,0.0,0.0,0.0,0.0
salt,condiments,4.0,0.060000000000000005,0.012,0.036000000000000004,0.0,0.0,0.0,0.0
silver,precious,6.0,0.04,0.0,0.006,0.0,0.0,0.0,0.0
sugar,condiments,3.0,0.060000000000000005,0.005,0.015,0.0,0.0,0.0,0.0
tea,luxury_drinks,3.0,0.22,0.01,0.03,0.0,0.0,0.0,0.0
tobacco,intoxicants,3.0,0.07500000000000001,0.005,0.015,0.0,0.0,0.0,0.0
tools,crude_goods,3.0,0.0,0.0,0.0,0.00025,0.0,0.0,0.0
weaponry,weapons,3.0,0.15000000000000002,0.0,0.0,5.9999999999999995e-05,5.9999999999999995e-05,0.0005,0.0
wheat,staple,1.0,0.004,0.0025,0.0075,0.00014999999999999996,0.00014999999999999996,0.00014999999999999996,0.0
wild_game,luxury_food,1.0,0.045,0.002,0.006,5.000000000000002e-05,5.000000000000002e-05,5.000000000000002e-05,0.0
wild_game,protein,1.0,0.045,0.002,0.006,5.000000000000002e-05,5.000000000000002e-05,5.000000000000002e-05,0.0
wine,intoxicants,2.0,0.009000000000000001,0.004,0.012,5.000000000000002e-05,5.000000000000002e-05,5.000000000000002e-05,0.0
wine,luxury_drinks,2.0,0.009000000000000001,0.004,0.012,5.000000000000002e-05,5.000000000000002e-05,5.000000000000002e-05,0.0
