good,section,negate_wit,negate_dev_thresh,nobles,clergy,burghers,laborers,peasants,soldiers,tribesmen
horses,raw_materials,,,0.1,0,0,0,0,0,0
coal,raw_materials,,,0.0025,0.0025,0.0025,0.0001,0.0001,0.0001,0
goods_gold,raw_materials,all,,0.025,0,0.002,0,0,0,0
silver,raw_materials,all,,0.025,0,0.002,0,0,0,0
incense,raw_materials,all,,0,0.015,0,0,0,0,0
tea,raw_materials,all,,0.15,0.01,0.01,0,0,0,0
cocoa,raw_materials,all,,0.1,0.01,0.01,0,0,0,0
coffee,raw_materials,all,,0.015,0.0015,0.002,0,0,0.001,0
ivory,raw_materials,all,,0.05,0,0.002,0,0,0,0
lumber,raw_materials,,,0.00125,0.00125,0.00125,0.00025,0.00025,0.00025,0
salt,raw_materials,all,,0.04,0.012,0.012,0,0,0,0
medicaments,raw_materials,all,,0.002,0.001,0.0006,0.0004,0.0004,0.0004,0
gems,raw_materials,all,,0.05,0,0.003,0,0,0,0
pearls,raw_materials,"nobles,burghers",,0.05,0,0.003,0,0,0,0
amber,raw_materials,"nobles,burghers",,0.1,0,0.005,0,0,0,0
wine,raw_materials,,,0.006,0.004,0.004,0.0002,0.0002,0.0002,0
elephants,raw_materials,nobles,,0.1,0,0,0,0,0,0
marble,raw_materials,nobles,-10,0.05,0,0.001,0,0,0,0
mercury,raw_materials,all,,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,0
saffron,raw_materials,all,,0.04,0.005,0.002,0,0,0,0
pepper,raw_materials,all,,0.05,0.005,0.0025,0,0,0,0
cloves,raw_materials,all,,0.05,0.005,0.0025,0,0,0,0
chili,raw_materials,all,,0.05,0.005,0.0025,0,0,0,0
sugar,plantation_goods,,,0.04,0.005,0.005,0,0,0,0
tobacco,plantation_goods,,,0.05,0.005,0.005,0,0,0,0
porcelain,produced_goods,all,,0.02,0.0015,0.0015,0,0,0,0
firearms,produced_goods,all,,0.12,0,0,0,0,0.001,0
weaponry,produced_goods,all,,0.1,0,0,0.00025,0.00025,0.002,0
glass,produced_goods,,,0.01,0,0.005,0,0,0,0
cloth,produced_goods,all,,0.05,0.02,0.01,0.00015,0.0001,0.0002,0
fine_cloth,produced_goods,all,,0.1,0.01,0.01,0,0,0,0
liquor,produced_goods,all,,0.008,0.004,0.004,0.0002,0.0002,0.0004,0
beer,produced_goods,all,,0.016,0.008,0.008,0.0004,0.0004,0.001,0
paper,produced_goods,all,,0.01,0.04,0.02,0,0,0,0
books,produced_goods,all,,0.01,0.01,0.02,0,0,0,0
jewelry,produced_goods,all,,0.12,0,0.008,0,0,0,0
leather,produced_goods,,,0.01,0,0,0,0,0,0
tools,produced_goods,all,,0,0,0,0.001,0,0,0
masonry,produced_goods,all,,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,0
lacquerware,produced_goods,all,,0.04,0,0.01,0,0,0,0
pottery,produced_goods,all,,0.002,0.002,0.0024,0.0014,0.0012,0.0012,0
furniture,produced_goods,all,,0.02,0.01,0.01,0.0002,0.0002,0.0002,0
wild_game,food,,,0.03,0.002,0.002,0.0002,0.0002,0.0002,0
fur,food,all,,0.1,0.01,0.01,0,0,0,0
fish,food,,,0.006,0.003,0.003,0.0008,0.0008,0.0008,0
wheat,food,"peasants,laborers,soldiers",,0.0025,0.0025,0.0025,0.0006,0.0006,0.0006,0
maize,food,,,0.016,0.016,0.016,0.008,0.008,0.008,0
rice,food,,,0.001,0.001,0.001,0.0005,0.0005,0.0005,0
millet,food,,,0.004,0.004,0.004,0.001,0.001,0.001,0
legumes,food,,,0.002,0.002,0.002,0.0008,0.0008,0.0008,0
potato,food,,,0.001,0.001,0,0.0006,0.0006,0.0006,0
livestock,food,"peasants,laborers,soldiers",,0.03,0.01,0.01,0.0006,0.0006,0.0006,0
olives,food,,,0.002,0.002,0.002,0.001,0.001,0.001,0
fruit,food,,,0.02,0.006,0.006,0.0012,0.0012,0.0012,0
beeswax,food,"peasants,laborers,soldiers",,0.002,0.002,0.002,0.0005,0.0005,0.0005,0
