location_id,location,owner_id,owner_tag,controller_id,market_id,province_id,rank,raw_material,development,control,pop_group_count,population_total,sol_population_total,population_nobles,population_clergy,population_burghers,population_laborers,population_peasants,population_soldiers,population_tribesmen,population_slaves,population_commoners,population_lower,population_share_nobles,population_share_clergy,population_share_burghers,population_share_laborers,population_share_peasants,population_share_soldiers,population_share_tribesmen,population_share_commoners,population_share_lower,sol_class_label,sol_structural_class_label,gls_location_actual_per_capita_spending,sol_location_anchor_score_burghers,sol_location_anchor_score_clergy,sol_location_anchor_score_commoners,sol_location_anchor_score_nobles,sol_location_anchor_score_tribesmen,sol_location_base_total_spending,sol_location_baseline_total_spending,sol_location_burghers_base_spending,sol_location_burghers_income,sol_location_burghers_liquid_funds,sol_location_burghers_net_income,sol_location_clergy_base_spending,sol_location_clergy_income,sol_location_clergy_liquid_funds,sol_location_clergy_net_income,sol_location_commoners_base_spending,sol_location_commoners_income,sol_location_commoners_liquid_funds,sol_location_commoners_net_income,sol_location_demand_class,sol_location_demand_class_confidence,sol_location_demand_class_penalty_candidate,sol_location_demand_class_score,sol_location_demand_class_score_candidate,sol_location_demand_class_selected_affinity,sol_location_demand_class_selected_penalty,sol_location_demand_score_burghers,sol_location_demand_score_clergy,sol_location_demand_score_lower,sol_location_demand_score_nobles,sol_location_demand_structural_best_score,sol_location_demand_structural_class,sol_location_demand_structural_second_score,sol_location_estate_building_maintenance_burghers,sol_location_estate_building_maintenance_clergy,sol_location_estate_building_maintenance_commoners,sol_location_estate_building_maintenance_nobles,sol_location_estate_building_maintenance_tribesmen,sol_location_estate_buildings_burghers,sol_location_estate_buildings_clergy,sol_location_estate_buildings_commoners,sol_location_estate_buildings_nobles,sol_location_estate_buildings_tribesmen,sol_location_final_demand_scale,sol_location_laborers_base_spending,sol_location_liquid_funds,sol_location_liquid_funds_multiplier,sol_location_lower_base_spending,sol_location_nobles_base_spending,sol_location_nobles_income,sol_location_nobles_liquid_funds,sol_location_nobles_net_income,sol_location_peasants_base_spending,sol_location_pop_demand_modifier_size,sol_location_raw_demand_scale,sol_location_savings_pressure_adjustment,sol_location_share_burghers,sol_location_share_clergy,sol_location_share_lower,sol_location_share_nobles,sol_location_soldiers_base_spending,sol_location_total_income,sol_location_tribesmen_base_spending,sol_location_tribesmen_income,sol_location_tribesmen_liquid_funds,sol_location_tribesmen_net_income
3383,bihar,381,HUN,381,22,1280,rural_settlement,wine,17.00005,0.18256,7,21.34423,21.34423,0.05335,0.11212,0.00000,2.10062,19.02813,0.05001,0.00000,0.00000,21.17876,21.17876,0.0024995045,0.0052529419,0.0000000000,0.0984162933,0.8914882383,0.0023430220,0.0000000000,0.9922475536,0.9922475536,lower,lower,0.04122,0.00000,0.00297,0.00476,0.16314,0.00000,0.27883,0.87986,0.00000,0.00000,0.00000,0.00000,0.02898,0.16320,0.17029,0.16320,0.03655,0.11537,0.12038,0.11537,4.00000,0.42655,0.04052,0.58035,0.58035,0.62087,0.04052,-1.00000,0.19432,0.62087,0.11381,0.62087,4.00000,0.19432,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,3.15557,0.00520,0.87987,1.04346,0.03655,0.21330,1.56466,0.58920,0.56466,0.03120,2.15557,3.15557,0.04346,0.0000000000,0.1039300000,0.1310800000,0.7649800000,0.00015,0.84323,0.00000,0.00000,0.00000,0.00000
3384,beius,381,HUN,381,22,1280,rural_settlement,iron,16.00004,0.01111,10,15.72683,15.72683,0.03893,0.07763,0.00000,1.10031,14.45995,0.05001,0.00000,0.00000,15.61027,15.61027,0.0024753876,0.0049361505,0.0000000000,0.0699638770,0.9194446688,0.0031799161,0.0000000000,0.9925884619,0.9925884619,lower,lower,0.07657,0.00000,0.00197,0.00346,0.11973,0.00000,0.20228,1.20420,0.00000,0.00000,0.00000,0.00000,0.02006,0.09581,0.09997,0.09581,0.02658,0.07676,0.08009,0.07676,4.00000,0.48532,0.02538,0.59944,0.59944,0.62482,0.02538,-1.00000,0.13950,0.62482,0.12028,0.62482,4.00000,0.13950,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,5.95318,0.00272,1.20421,1.04346,0.02658,0.15564,0.98149,1.02414,0.98149,0.02371,4.95318,5.95318,0.04346,0.0000000000,0.0991600000,0.1314000000,0.7694200000,0.00015,1.15406,0.00000,0.00000,0.00000,0.00000
3385,cheresig,381,HUN,381,22,1280,rural_settlement,wool,17.00005,0.18011,7,23.41785,23.41785,0.08196,0.13951,0.00000,2.10061,21.04576,0.05001,0.00000,0.00000,23.19638,23.19638,0.0034998943,0.0059574214,0.0000000000,0.0897012322,0.8987059017,0.0021355504,0.0000000000,0.9905426843,0.9905426843,lower,lower,0.08757,0.00000,0.00322,0.00391,0.26603,0.00000,0.40360,2.05075,0.00000,0.00000,0.00000,0.00000,0.03606,0.17758,0.18529,0.17758,0.03986,0.11060,0.11540,0.11060,4.00000,0.03910,0.05393,0.16728,0.16728,0.22121,0.05393,-1.00000,0.02666,0.22121,0.18211,0.22121,4.00000,0.18211,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,5.08116,0.00520,2.05076,1.04346,0.03986,0.32768,1.67717,1.75005,1.67717,0.03451,4.08116,5.08116,0.04346,0.0000000000,0.0893400000,0.0987600000,0.8118900000,0.00015,1.96535,0.00000,0.00000,0.00000,0.00000
3386,debrecen,381,HUN,381,22,1280,rural_settlement,beeswax,19.00009,0.17778,6,22.17632,22.17632,0.06178,0.11625,0.01000,2.10062,19.83766,0.05001,0.00000,0.00000,21.98829,21.98829,0.0027858545,0.0052420780,0.0004509314,0.0947235610,0.8945424669,0.0022551082,0.0000000000,0.9915211361,0.9915211361,lower,lower,0.01616,0.00018,0.00278,0.00442,0.18882,0.00000,0.32305,0.35850,0.00812,0.02371,0.02474,0.02371,0.03005,0.18715,0.19528,0.18715,0.03788,0.13272,0.13848,0.13272,4.00000,0.33662,0.04863,0.40122,0.40122,0.44985,0.04863,-0.82702,0.06883,0.44985,0.11323,0.44985,4.00000,0.11323,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,1.10976,0.00520,0.35851,1.04346,0.03788,0.24700,1.85830,0.00000,0.00000,0.03253,0.10976,1.10976,0.04346,0.0251300000,0.0930100000,0.1172500000,0.7645800000,0.00015,0.34358,0.00000,0.00000,0.00000,0.00000
3387,oradea,381,HUN,381,22,1280,rural_settlement,wheat,17.00005,0.18266,7,22.17322,22.17322,0.06008,0.10986,0.00000,2.10062,19.85265,0.05001,0.00000,0.00000,22.00328,22.00328,0.0027095749,0.0049546254,0.0000000000,0.0947368041,0.8953435721,0.0022554234,0.0000000000,0.9923357997,0.9923357997,lower,lower,0.00556,0.00000,0.00261,0.00466,0.18822,0.00000,0.30650,0.12335,0.00000,0.00000,0.00000,0.00000,0.02840,0.06758,0.07051,0.06758,0.03790,0.05065,0.05285,0.05065,4.00000,0.38795,0.04543,0.48356,0.48356,0.52899,0.04543,-1.00000,0.06469,0.52899,0.14104,0.52899,4.00000,0.14104,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.40247,0.00520,0.12336,1.04346,0.03790,0.24020,0.70406,0.00000,0.00000,0.03255,-0.59753,0.40247,0.04346,0.0000000000,0.0926500000,0.1236500000,0.7836800000,0.00015,0.11823,0.00000,0.00000,0.00000,0.00000
3388,eger,381,HUN,381,22,1293,rural_settlement,clay,16.00005,0.64612,6,26.02016,26.02016,0.09559,0.15511,0.01000,2.10051,23.60894,0.05001,0.00000,0.00000,25.75946,25.75946,0.0036736899,0.0059611470,0.0003843174,0.0807262523,0.9073326221,0.0019219713,0.0000000000,0.9899808456,0.9899808456,lower,nobles,0.00514,0.00012,0.00337,0.00408,0.30785,0.00000,0.47445,0.13378,0.00812,0.00568,0.00592,0.00568,0.04009,0.07747,0.08083,0.07747,0.04406,0.04507,0.04702,0.04507,4.00000,0.02458,0.05548,0.09278,0.09278,0.14826,0.05548,-0.88222,-0.02907,0.14826,0.17284,0.17284,1.00000,0.14826,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.28198,0.00520,0.13379,1.04346,0.04406,0.38218,0.72419,0.00000,0.00000,0.03871,-0.71802,0.28198,0.04346,0.0171100000,0.0844900000,0.0928600000,0.8055200000,0.00015,0.12822,0.00000,0.00000,0.00000,0.00000
3389,heves,381,HUN,381,22,1293,rural_settlement,fish,20.00009,0.40293,6,22.73046,22.73046,0.05682,0.11265,0.01000,2.10063,20.40035,0.05001,0.00000,0.00000,22.55099,22.55099,0.0024997294,0.0049559050,0.0004399383,0.0924147598,0.8974895361,0.0022001315,0.0000000000,0.9921044273,0.9921044273,lower,lower,0.06460,0.00019,0.00277,0.00494,0.17017,0.00000,0.30321,1.46850,0.00812,0.01380,0.01439,0.01380,0.02912,0.11849,0.12363,0.11849,0.03880,0.08139,0.08492,0.08139,4.00000,0.47876,0.03051,0.55178,0.55178,0.58229,0.03051,-0.81566,0.10353,0.58229,0.09085,0.58229,4.00000,0.10353,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,4.84321,0.00520,1.46851,1.04346,0.03880,0.22717,1.19367,1.24554,1.19367,0.03345,3.84321,4.84321,0.04346,0.0267800000,0.0960300000,0.1279600000,0.7492100000,0.00015,1.40735,0.00000,0.00000,0.00000,0.00000
3390,miskolc,381,HUN,381,22,1293,rural_settlement,stone,12.00003,0.33137,6,24.27060,24.27060,0.06605,0.12034,0.00000,2.10052,21.93368,0.05001,0.00000,0.00000,24.08421,24.08421,0.0027213996,0.0049582623,0.0000000000,0.0865458621,0.9037139585,0.0020605177,0.0000000000,0.9923203382,0.9923203382,lower,lower,0.01292,0.00000,0.00285,0.00505,0.20722,0.00000,0.33650,0.31359,0.00000,0.00000,0.00000,0.00000,0.03111,0.17607,0.18372,0.17607,0.04132,0.12447,0.12987,0.12447,4.00000,0.37576,0.04656,0.47180,0.47180,0.51836,0.04656,-1.00000,0.06239,0.51836,0.14260,0.51836,4.00000,0.14260,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.93194,0.00520,0.31360,1.04346,0.04132,0.26407,1.82466,0.00000,0.00000,0.03597,-0.06806,0.93194,0.04346,0.0000000000,0.0924500000,0.1227900000,0.7847500000,0.00015,0.30054,0.00000,0.00000,0.00000,0.00000
3391,borsod,381,HUN,381,22,1293,rural_settlement,livestock,17.00005,0.32871,6,19.62922,19.62922,0.04907,0.09714,0.00000,1.10033,18.33267,0.05001,0.00000,0.00000,19.48301,19.48301,0.0024998446,0.0049487448,0.0000000000,0.0560557169,0.9339479613,0.0025477324,0.0000000000,0.9925514106,0.9925514106,lower,lower,0.05007,0.00000,0.00247,0.00424,0.15136,0.00000,0.25422,0.98297,0.00000,0.00000,0.00000,0.00000,0.02511,0.07963,0.08309,0.07963,0.03293,0.05647,0.05892,0.05647,4.00000,0.46668,0.03532,0.56638,0.56638,0.60170,0.03532,-1.00000,0.13502,0.60170,0.12358,0.60170,4.00000,0.13502,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.86665,0.00272,0.98298,1.04346,0.03293,0.19618,0.80594,0.84096,0.80594,0.03006,2.86665,3.86665,0.04346,0.0000000000,0.0987700000,0.1295300000,0.7716900000,0.00015,0.94204,0.00000,0.00000,0.00000,0.00000
3392,crasna,381,HUN,381,22,1277,rural_settlement,lumber,14.00003,0.01843,14,9.47827,9.47827,0.02366,0.12729,0.00000,1.10146,8.17580,0.05006,0.00000,0.00000,9.32732,9.32732,0.0024962361,0.0134296660,0.0000000000,0.1162089706,0.8625835727,0.0052815545,0.0000000000,0.9840740979,0.9840740979,clergy,clergy,0.01409,0.00000,0.00751,0.00180,0.06218,0.00000,0.14377,0.13354,0.00000,0.00000,0.00000,0.00000,0.03290,0.09913,0.10343,0.09913,0.01628,0.02886,0.03011,0.02886,2.00000,1.22948,0.00502,1.61395,0.39512,1.62962,0.01567,-1.00000,1.62962,0.40014,-0.04206,1.62962,2.00000,0.40014,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.92891,0.00273,0.13355,1.04346,0.01628,0.09459,0.37180,0.00000,0.00000,0.01340,-0.07109,0.92891,0.04346,0.0000000000,0.2288300000,0.1132300000,0.6579200000,0.00015,0.12799,0.00000,0.00000,0.00000,0.00000
