location_id,location,owner_id,owner_tag,controller_id,market_id,province_id,rank,raw_material,development,control,pop_group_count,population_total,sol_population_total,population_nobles,population_clergy,population_burghers,population_laborers,population_peasants,population_soldiers,population_tribesmen,population_slaves,population_commoners,population_lower,population_share_nobles,population_share_clergy,population_share_burghers,population_share_laborers,population_share_peasants,population_share_soldiers,population_share_tribesmen,population_share_commoners,population_share_lower,sol_class_label,sol_structural_class_label,gls_location_actual_per_capita_spending,sol_location_anchor_score_burghers,sol_location_anchor_score_clergy,sol_location_anchor_score_commoners,sol_location_anchor_score_nobles,sol_location_anchor_score_tribesmen,sol_location_base_total_spending,sol_location_baseline_total_spending,sol_location_burghers_base_spending,sol_location_burghers_income,sol_location_burghers_liquid_funds,sol_location_burghers_net_income,sol_location_clergy_base_spending,sol_location_clergy_income,sol_location_clergy_liquid_funds,sol_location_clergy_net_income,sol_location_commoners_base_spending,sol_location_commoners_income,sol_location_commoners_liquid_funds,sol_location_commoners_net_income,sol_location_demand_class,sol_location_demand_class_confidence,sol_location_demand_class_penalty_candidate,sol_location_demand_class_score,sol_location_demand_class_score_candidate,sol_location_demand_class_selected_affinity,sol_location_demand_class_selected_penalty,sol_location_demand_score_burghers,sol_location_demand_score_clergy,sol_location_demand_score_lower,sol_location_demand_score_nobles,sol_location_demand_structural_best_score,sol_location_demand_structural_class,sol_location_demand_structural_second_score,sol_location_estate_building_maintenance_burghers,sol_location_estate_building_maintenance_clergy,sol_location_estate_building_maintenance_commoners,sol_location_estate_building_maintenance_nobles,sol_location_estate_building_maintenance_tribesmen,sol_location_estate_buildings_burghers,sol_location_estate_buildings_clergy,sol_location_estate_buildings_commoners,sol_location_estate_buildings_nobles,sol_location_estate_buildings_tribesmen,sol_location_final_demand_scale,sol_location_laborers_base_spending,sol_location_liquid_funds,sol_location_liquid_funds_multiplier,sol_location_lower_base_spending,sol_location_nobles_base_spending,sol_location_nobles_income,sol_location_nobles_liquid_funds,sol_location_nobles_net_income,sol_location_peasants_base_spending,sol_location_pop_demand_modifier_size,sol_location_raw_demand_scale,sol_location_savings_pressure_adjustment,sol_location_share_burghers,sol_location_share_clergy,sol_location_share_lower,sol_location_share_nobles,sol_location_soldiers_base_spending,sol_location_total_income,sol_location_tribesmen_base_spending,sol_location_tribesmen_income,sol_location_tribesmen_liquid_funds,sol_location_tribesmen_net_income
3383,bihar,381,HUN,381,22,1280,rural_settlement,wine,17.00002,0.18600,6,21.33901,21.33901,0.05234,0.11089,0.00000,2.10061,19.02516,0.05001,0.00000,0.00000,21.17578,21.17578,0.0024527848,0.0051965860,0.0000000000,0.0984398995,0.8915671346,0.0023435951,0.0000000000,0.9923506292,0.9923506292,lower,lower,0.04552,0.00000,0.00298,0.00484,0.15950,0.00000,0.27447,0.97145,0.00000,0.00000,0.00000,0.00000,0.02866,0.16498,0.18392,0.16498,0.03655,0.11775,0.13127,0.11775,4.00000,0.44053,0.03655,0.59791,0.59791,0.63446,0.03655,-1.00000,0.19393,0.63446,0.11354,0.63446,4.00000,0.19393,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.04661,0.00520,0.97146,1.11486,0.03655,0.20926,1.58865,0.65626,0.58865,0.03120,-0.95339,3.53940,0.11486,0.0000000000,0.1044100000,0.1331600000,0.7624100000,0.00015,0.87138,0.00000,0.00000,0.00000,0.00000
3384,beius,381,HUN,381,22,1280,rural_settlement,iron,16.00001,0.01028,9,15.72352,15.72352,0.03731,0.07862,0.00000,1.10030,14.45728,0.05001,0.00000,0.00000,15.60759,15.60759,0.0023728783,0.0050001526,0.0000000000,0.0699779693,0.9194684142,0.0031805855,0.0000000000,0.9926269690,0.9926269690,lower,lower,0.12965,0.00000,0.00209,0.00357,0.11348,0.00000,0.19606,2.03863,0.00000,0.00000,0.00000,0.00000,0.02032,0.15522,0.17304,0.15522,0.02657,0.12280,0.13690,0.12280,4.00000,0.47818,0.02222,0.64109,0.64109,0.66331,0.02222,-1.00000,0.18513,0.66331,0.11123,0.66331,4.00000,0.18513,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.13694,0.00272,2.03864,1.11486,0.02657,0.14917,1.55059,1.72869,1.55059,0.02370,-0.86306,10.39804,0.11486,0.0000000000,0.1036400000,0.1355100000,0.7608300000,0.00015,1.82861,0.00000,0.00000,0.00000,0.00000
3385,cheresig,381,HUN,381,22,1280,rural_settlement,wool,17.00002,0.17923,6,23.41210,23.41210,0.08094,0.14046,0.00000,2.10060,21.04009,0.05001,0.00000,0.00000,23.19070,23.19070,0.0034571867,0.0059994618,0.0000000000,0.0897228356,0.8986844410,0.0021360749,0.0000000000,0.9905433515,0.9905433515,lower,lower,0.09998,0.00000,0.00327,0.00395,0.26193,0.00000,0.39976,2.34075,0.00000,0.00000,0.00000,0.00000,0.03631,0.19178,0.21380,0.19178,0.03985,0.11865,0.13227,0.11865,4.00000,0.04122,0.05361,0.16990,0.16990,0.22351,0.05361,-1.00000,0.03853,0.22351,0.18229,0.22351,4.00000,0.18229,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07711,0.00520,2.34076,1.11486,0.03985,0.32360,1.78917,1.99467,1.78917,0.03450,-0.92289,5.85541,0.11486,0.0000000000,0.0908200000,0.0996800000,0.8094800000,0.00015,2.09960,0.00000,0.00000,0.00000,0.00000
3386,debrecen,381,HUN,381,22,1280,rural_settlement,beeswax,19.00004,0.18278,6,22.17087,22.17087,0.05955,0.11500,0.01000,2.10060,19.83571,0.05001,0.00000,0.00000,21.98632,21.98632,0.0026859568,0.0051869863,0.0004510423,0.0947459437,0.8946744084,0.0022556625,0.0000000000,0.9916760145,0.9916760145,lower,lower,0.01773,0.00019,0.00280,0.00455,0.18062,0.00000,0.31380,0.39325,0.00812,0.02445,0.02725,0.02445,0.02972,0.19138,0.21336,0.19138,0.03788,0.13692,0.15264,0.13692,4.00000,0.37353,0.04625,0.43539,0.43539,0.48164,0.04625,-0.82328,0.08301,0.48164,0.10811,0.48164,4.00000,0.10811,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.01650,0.00520,0.39326,1.11486,0.03788,0.23808,1.89684,0.00000,0.00000,0.03253,-0.98350,1.25321,0.11486,0.0258700000,0.0947100000,0.1207100000,0.7586900000,0.00015,0.35275,0.00000,0.00000,0.00000,0.00000
3387,oradea,381,HUN,381,22,1280,rural_settlement,wheat,17.00002,0.17921,6,22.16778,22.16778,0.05821,0.11084,0.00000,2.10060,19.84812,0.05001,0.00000,0.00000,21.99873,21.99873,0.0026258832,0.0050000496,0.0000000000,0.0947591504,0.8953589399,0.0022559769,0.0000000000,0.9923740672,0.9923740672,lower,lower,0.00645,0.00000,0.00273,0.00477,0.18096,0.00000,0.29928,0.14312,0.00000,0.00000,0.00000,0.00000,0.02865,0.07363,0.08208,0.07363,0.03790,0.05476,0.06104,0.05476,4.00000,0.41854,0.04332,0.51099,0.51099,0.55431,0.04332,-1.00000,0.09456,0.55431,0.13577,0.55431,4.00000,0.13577,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00629,0.00520,0.14313,1.11486,0.03790,0.23273,0.75234,0.00000,0.00000,0.03255,-0.99371,0.47824,0.11486,0.0000000000,0.0957200000,0.1266300000,0.7776300000,0.00015,0.12839,0.00000,0.00000,0.00000,0.00000
3388,eger,381,HUN,381,22,1293,rural_settlement,clay,16.00002,0.64286,6,26.01491,26.01491,0.09380,0.15608,0.01000,2.10050,23.60452,0.05001,0.00000,0.00000,25.75503,25.75503,0.0036056246,0.0059996364,0.0003843949,0.0807421590,0.9073458259,0.0019223591,0.0000000000,0.9900103441,0.9900103441,lower,nobles,0.00585,0.00012,0.00346,0.00414,0.30080,0.00000,0.46754,0.15232,0.00812,0.00600,0.00668,0.00600,0.04034,0.08208,0.09150,0.08208,0.04406,0.04856,0.05413,0.04856,4.00000,0.01490,0.05572,0.10090,0.10090,0.15662,0.05572,-0.88141,-0.01337,0.15662,0.17152,0.17152,1.00000,0.15662,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00429,0.00520,0.15233,1.11486,0.04406,0.37502,0.75356,0.00000,0.00000,0.03871,-0.99571,0.32581,0.11486,0.0173600000,0.0862800000,0.0942300000,0.8021100000,0.00015,0.13664,0.00000,0.00000,0.00000,0.00000
3389,heves,381,HUN,381,22,1293,rural_settlement,fish,20.00004,0.40206,6,22.72476,22.72476,0.05580,0.11362,0.01000,2.10061,20.39472,0.05001,0.00000,0.00000,22.54534,22.54534,0.0024554715,0.0049998328,0.0004400487,0.0924370598,0.8974669039,0.0022006833,0.0000000000,0.9921046471,0.9921046471,lower,lower,0.07033,0.00020,0.00287,0.00501,0.16621,0.00000,0.29937,1.59832,0.00812,0.01414,0.01576,0.01414,0.02937,0.12240,0.13645,0.12240,0.03879,0.08337,0.09294,0.08337,4.00000,0.46862,0.02780,0.56260,0.56260,0.59040,0.02780,-0.81474,0.12178,0.59040,0.08839,0.59040,4.00000,0.12178,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07031,0.00520,1.59833,1.11486,0.03879,0.22309,1.21375,1.35316,1.21375,0.03344,-0.92969,5.33897,0.11486,0.0271200000,0.0981000000,0.1295700000,0.7451900000,0.00015,1.43366,0.00000,0.00000,0.00000,0.00000
3390,miskolc,381,HUN,381,22,1293,rural_settlement,stone,12.00001,0.32780,6,24.26567,24.26567,0.06382,0.12132,0.00000,2.10051,21.93001,0.05001,0.00000,0.00000,24.08053,24.08053,0.0026300531,0.0049996559,0.0000000000,0.0865630333,0.9037463214,0.0020609363,0.0000000000,0.9923702910,0.9923702910,lower,lower,0.01435,0.00000,0.00298,0.00518,0.19857,0.00000,0.32783,0.34828,0.00000,0.00000,0.00000,0.00000,0.03136,0.18354,0.20462,0.18354,0.04131,0.12887,0.14367,0.12887,4.00000,0.40991,0.04361,0.50309,0.50309,0.54670,0.04361,-1.00000,0.09376,0.54670,0.13679,0.54670,4.00000,0.13679,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.01399,0.00520,0.34829,1.11486,0.04131,0.25516,1.86425,0.00000,0.00000,0.03596,-0.98601,1.06241,0.11486,0.0000000000,0.0956500000,0.1260100000,0.7783300000,0.00015,0.31241,0.00000,0.00000,0.00000,0.00000
3391,borsod,381,HUN,381,22,1293,rural_settlement,livestock,17.00002,0.32788,6,19.62442,19.62442,0.04805,0.09811,0.00000,1.10033,18.32792,0.05001,0.00000,0.00000,19.47826,19.47826,0.0024484800,0.0049993834,0.0000000000,0.0560694278,0.9339343532,0.0025483556,0.0000000000,0.9925521366,0.9925521366,lower,lower,0.05532,0.00000,0.00255,0.00431,0.14737,0.00000,0.25039,1.08567,0.00000,0.00000,0.00000,0.00000,0.02536,0.08362,0.09322,0.08362,0.03292,0.05872,0.06546,0.05872,4.00000,0.45558,0.03404,0.57968,0.57968,0.61372,0.03404,-1.00000,0.15814,0.61372,0.12059,0.61372,4.00000,0.15814,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.05710,0.00272,1.08568,1.11486,0.03292,0.19211,0.83149,0.92699,0.83149,0.03005,-0.94290,4.33595,0.11486,0.0000000000,0.1012800000,0.1314700000,0.7672400000,0.00015,0.97383,0.00000,0.00000,0.00000,0.00000
3392,crasna,381,HUN,381,22,1277,rural_settlement,lumber,14.00001,0.01483,14,9.43526,9.43526,0.06247,0.09705,0.00000,1.10145,8.12423,0.05006,0.00000,0.00000,9.27574,9.27574,0.0066209092,0.0102858851,0.0000000000,0.1167376416,0.8610499340,0.0053056302,0.0000000000,0.9830932057,0.9830932057,nobles,nobles,0.01605,0.00000,0.00213,0.00089,0.21433,0.00000,0.29104,0.15146,0.00000,0.00000,0.00000,0.00000,0.02508,0.09844,0.10974,0.09844,0.01620,0.03743,0.04172,0.03743,1.00000,0.26802,0.05106,0.25339,-0.36786,0.25339,0.00000,-1.00000,-0.01463,-0.31680,0.25339,0.25339,1.00000,-0.01463,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,15.62127,0.00273,0.15147,1.11486,0.01620,0.24976,0.71847,0.00000,0.00000,0.01332,14.62127,0.52044,0.11486,0.0000000000,0.0861700000,0.0556600000,0.8581600000,0.00015,0.13587,0.00000,0.00000,0.00000,0.00000
