"owner_id","owner_tag","location_count","valid_location_count","analysis_status","approximation_status","approximation_strategy","approximation_accepted","nobles_raw_deviation","nobles_approx_deviation","clergy_raw_deviation","clergy_approx_deviation","burghers_raw_deviation","burghers_approx_deviation","lower_raw_deviation","lower_approx_deviation"
"1851","AAC","1","1","analyzed","gate_rejected","raw_fallback","False","0.16400","0.16400","-0.24134","-0.24134","0.53827","0.53827","-0.46094","-0.46094"
"152","AAD","7","7","analyzed","gate_rejected","raw_fallback","False","0.17576","0.17576","-0.04227","-0.04227","0.00000","0.00000","-0.13353","-0.13353"
"392","AAI","8","7","analyzed","feasible","balanced_l2","True","0.02615","0.00000","-0.00257","0.00000","-0.02210","0.00000","-0.00153","0.00000"
"508","AAL","8","3","analyzed","gate_rejected","raw_fallback","False","0.04267","0.04267","0.13446","0.13446","0.01665","0.01665","-0.19380","-0.19380"
"961","AAR","1","1","analyzed","gate_rejected","raw_fallback","False","0.04272","0.04272","-0.01586","-0.01586","0.00000","0.00000","-0.02686","-0.02686"
"1449","ABA","1","1","analyzed","gate_rejected","raw_fallback","False","0.12505","0.12505","-0.02809","-0.02809","0.00558","0.00558","-0.10256","-0.10256"
"577","ABV","1","0","no_valid_locations","","","","","","","","","","",""
"1235","ABW","3","3","analyzed","gate_rejected","raw_fallback","False","0.06457","0.06457","-0.14944","-0.14944","0.00195","0.00195","0.08290","0.08290"
"1656","ACA","1","1","analyzed","gate_rejected","raw_fallback","False","0.04708","0.04708","-0.02520","-0.02520","0.00400","0.00400","-0.02589","-0.02589"
"197","ACH","12","10","analyzed","feasible","improvement_l2","True","-0.05691","0.00502","-0.07620","-0.07053","0.15473","0.06169","-0.02173","0.00383"
"178","ACO","1","1","analyzed","gate_rejected","raw_fallback","False","0.03037","0.03037","-0.02182","-0.02182","0.00000","0.00000","-0.00856","-0.00856"
"871","ADG","1","0","no_valid_locations","","","","","","","","","","",""
"2095","ADH","1","1","analyzed","gate_rejected","raw_fallback","False","0.49879","0.49879","-0.09457","-0.09457","0.05460","0.05460","-0.45886","-0.45886"
