"owner_id","owner_tag","location_count","classified_location_count","solver_size","solve_mode","exact_status","runtime_status","runtime_gate_possible","runtime_gate_passed","runtime_strategy","runtime_strategy_name","runtime_approx_reason","runtime_approx_reason_name","candidate_attempt_count","candidate_count","candidate_gate_count","nobles_raw_deviation","nobles_approx_deviation","clergy_raw_deviation","clergy_approx_deviation","burghers_raw_deviation","burghers_approx_deviation","lower_raw_deviation","lower_approx_deviation","factor_nobles","factor_clergy","factor_burghers","factor_lower","selected_average_improvement_ratio","selected_average_absolute_improvement","total_residual","raw_total_residual"
"3","SWE","131","125","3","3","-2","1","1","1","2","improvement_l2","0","none","11","6","2","12.07185","10.36360","0.29413","0.00174","0.69227","0.01292","-13.05920","-10.37714","0.00000","0.25192","0.97291","3.90174","0.58095","1.34063","-0.00016","-0.00095"
"4","DAN","40","40","3","3","-2","1","1","1","2","improvement_l2","0","none","11","5","2","2.12673","2.12442","-0.92236","-0.56634","1.49609","0.35230","-2.70100","-1.90999","0.00000","1.19465","0.75503","2.44781","0.36106","0.57323","-0.00008","-0.00054"
"5","SKE","11","11","3","3","-1","-8","1","0","0","raw_fallback","5","no_gate_candidate","7","6","0","0.06924","0.06924","0.01076","0.01076","0.10215","0.10215","-0.18222","-0.18222","1.00000","1.00000","1.00000","1.00000","","","","-0.00007"
"6","NOR","119","97","3","3","1","1","1","1","2","improvement_l2","0","none","11","9","6","0.74321","-0.00053","-0.39676","0.00103","0.51979","0.00002","-0.86663","-0.00044","0.26929","10.71245","0.02658","1.96450","0.99902","0.63106","-0.00017","-0.00039"
"12","ICE","21","21","3","3","-2","1","1","1","2","improvement_l2","0","none","11","6","2","-1.15892","-0.07923","0.09009","0.00634","0.01729","-0.00003","1.05145","0.07300","9.90465","0.69397","0.99590","0.00000","0.94747","0.53980","-0.00006","-0.00009"
"13","GRL","12","12","5","3","-1","-8","0","0","0","raw_fallback","1","raw_gate_impossible","0","0","0","0.11066","0.11066","-0.02561","-0.02561","0.00000","0.00000","-0.08500","-0.08500","1.00000","1.00000","1.00000","1.00000","","","","0.00005"
"15","AHI","6","6","3","3","-1","-8","1","0","0","raw_fallback","5","no_gate_candidate","7","4","0","0.64084","0.64084","-0.49030","-0.49030","0.53522","0.53522","-0.68584","-0.68584","1.00000","1.00000","1.00000","1.00000","","","","-0.00008"
"16","ALY","2","2","3","3","-1","-8","1","0","0","raw_fallback","5","no_gate_candidate","3","1","0","0.01790","0.01790","-0.16133","-0.16133","0.34859","0.34859","-0.20518","-0.20518","1.00000","1.00000","1.00000","1.00000","","","","-0.00002"
"17","ATQ","12","12","3","3","-2","1","1","1","2","improvement_l2","0","none","11","3","1","0.54586","0.48326","-0.38302","-0.32719","0.06277","0.00237","-0.22575","-0.15831","0.00000","7.77794","1.09621","0.00000","0.38016","0.06153","-0.00003","-0.00014"
"18","AYD","9","7","3","3","-1","-8","1","0","0","raw_fallback","5","no_gate_candidate","7","5","0","1.50047","1.50047","-0.61101","-0.61101","0.55431","0.55431","-1.44385","-1.44385","1.00000","1.00000","1.00000","1.00000","","","","-0.00008"
"19","BFR","2","2","3","3","-1","-8","1","0","0","raw_fallback","5","no_gate_candidate","3","1","0","0.57186","0.57186","-0.03256","-0.03256","-0.02472","-0.02472","-0.51459","-0.51459","1.00000","1.00000","1.00000","1.00000","","","","-0.00001"
"20","CIL","12","12","3","3","-2","1","1","1","2","improvement_l2","0","none","11","5","3","-0.97115","-0.04392","0.21116","0.19871","0.85532","-0.14237","-0.09547","-0.01164","13.59252","0.85681","0.41655","0.00000","0.68087","0.43399","-0.00007","-0.00014"
"21","CND","19","16","3","3","-2","1","1","1","2","improvement_l2","0","none","11","5","3","0.66494","0.28392","-0.50475","-0.42733","0.50713","0.07631","-0.66736","0.06743","0.00000","1.90866","0.03174","8.53242","0.61877","0.37234","-0.00006","-0.00004"
