location_id,location,owner_id,owner_tag,controller_id,market_id,province_id,rank,raw_material,development,control,pop_group_count,population_total,sol_population_total,population_nobles,population_clergy,population_burghers,population_laborers,population_peasants,population_soldiers,population_tribesmen,population_slaves,population_commoners,population_lower,population_share_nobles,population_share_clergy,population_share_burghers,population_share_laborers,population_share_peasants,population_share_soldiers,population_share_tribesmen,population_share_commoners,population_share_lower,sol_class_label,sol_structural_class_label,gls_location_actual_per_capita_spending,sol_location_anchor_score_burghers,sol_location_anchor_score_clergy,sol_location_anchor_score_commoners,sol_location_anchor_score_nobles,sol_location_anchor_score_tribesmen,sol_location_base_total_spending,sol_location_baseline_total_spending,sol_location_burghers_base_spending,sol_location_burghers_income,sol_location_burghers_liquid_funds,sol_location_burghers_net_income,sol_location_clergy_base_spending,sol_location_clergy_income,sol_location_clergy_liquid_funds,sol_location_clergy_net_income,sol_location_commoners_base_spending,sol_location_commoners_income,sol_location_commoners_liquid_funds,sol_location_commoners_net_income,sol_location_demand_class,sol_location_demand_class_confidence,sol_location_demand_class_penalty_candidate,sol_location_demand_class_score,sol_location_demand_class_score_candidate,sol_location_demand_class_selected_affinity,sol_location_demand_class_selected_penalty,sol_location_demand_score_burghers,sol_location_demand_score_clergy,sol_location_demand_score_lower,sol_location_demand_score_nobles,sol_location_demand_structural_best_score,sol_location_demand_structural_class,sol_location_demand_structural_second_score,sol_location_estate_building_maintenance_burghers,sol_location_estate_building_maintenance_clergy,sol_location_estate_building_maintenance_commoners,sol_location_estate_building_maintenance_nobles,sol_location_estate_building_maintenance_tribesmen,sol_location_estate_buildings_burghers,sol_location_estate_buildings_clergy,sol_location_estate_buildings_commoners,sol_location_estate_buildings_nobles,sol_location_estate_buildings_tribesmen,sol_location_final_demand_scale,sol_location_laborers_base_spending,sol_location_liquid_funds,sol_location_liquid_funds_multiplier,sol_location_lower_base_spending,sol_location_nobles_base_spending,sol_location_nobles_income,sol_location_nobles_liquid_funds,sol_location_nobles_net_income,sol_location_peasants_base_spending,sol_location_pop_demand_modifier_size,sol_location_raw_demand_scale,sol_location_savings_pressure_adjustment,sol_location_share_burghers,sol_location_share_clergy,sol_location_share_lower,sol_location_share_nobles,sol_location_soldiers_base_spending,sol_location_total_income,sol_location_tribesmen_base_spending,sol_location_tribesmen_income,sol_location_tribesmen_liquid_funds,sol_location_tribesmen_net_income
1,stockholm,3,SWE,3,29,0,town,clay,20.75001,1.00000,9,21.83325,21.83325,0.21941,0.47120,1.00013,1.70079,17.84154,0.60018,0.00000,0.00000,20.14251,20.14251,0.0100493513,0.0215817618,0.0458076558,0.0778990760,0.8171728900,0.0274892652,0.0000000000,0.9225612311,0.9225612311,burghers,burghers,0.02132,0.35667,0.01079,0.00082,0.23877,0.00000,1.48501,0.46550,0.72778,0.17148,0.15424,0.17148,0.12663,0.08210,0.07384,0.08210,0.03513,0.07605,0.06840,0.07605,3.00000,0.35082,1.18753,0.21131,-1.84392,0.25761,0.04630,0.25761,-0.14102,-0.65639,-0.09321,0.25761,3.00000,-0.09321,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.30497,0.00418,0.46552,0.89950,0.03513,0.59547,0.18791,0.16902,0.18791,0.02908,-0.69503,0.31347,-0.10050,0.4900800000,0.0852700000,0.0236500000,0.4009800000,0.00187,0.51754,0.00000,0.00000,0.00000,0.00000
2,norrtalje,3,SWE,3,29,0,rural_settlement,fish,13.25000,0.68664,5,12.78230,12.78230,0.03195,0.06390,0.00000,1.10039,11.53605,0.05001,0.00000,0.00000,12.68645,12.68645,0.0024995502,0.0049991003,0.0000000000,0.0860870109,0.9025018972,0.0039124414,0.0000000000,0.9925013495,0.9925013495,nobles,lower,0.02766,0.00000,0.00231,0.00366,0.05982,0.00000,0.12553,0.35363,0.00000,0.00000,0.00000,0.00000,0.01717,0.04138,0.03722,0.04138,0.02165,0.16129,0.14508,0.16129,1.00000,0.94352,1.18753,0.54823,0.31806,0.56207,0.01384,-1.00000,0.37785,1.50559,0.56207,1.50559,4.00000,0.56207,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00270,0.35364,0.89950,0.02165,0.08671,0.19049,0.17134,0.19049,0.01880,-1.00000,2.81717,-0.10050,0.0000000000,0.1367800000,0.1724600000,0.6907500000,0.00015,0.39316,0.00000,0.00000,0.00000,0.00000
3,enkoping,3,SWE,3,29,0,rural_settlement,millet,15.00001,0.87941,5,13.67399,13.67399,0.05419,0.07359,0.00000,1.10042,12.39578,0.05001,0.00000,0.00000,13.54621,13.54621,0.0039629984,0.0053817503,0.0000000000,0.0804754135,0.9065225293,0.0036573085,0.0000000000,0.9906552513,0.9906552513,nobles,lower,0.03078,0.00000,0.00205,0.00279,0.11385,0.00000,0.18989,0.42091,0.00000,0.00000,0.00000,0.00000,0.01977,0.10247,0.09217,0.10247,0.02305,0.36548,0.32874,0.36548,1.00000,0.01201,1.18753,0.71575,-0.42406,0.75146,0.03571,-1.00000,0.04875,0.76347,0.75146,0.76347,4.00000,0.75146,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00270,0.42092,0.89950,0.02305,0.14707,0.50043,0.00000,0.00000,0.02020,-1.00000,2.21665,-0.10050,0.0000000000,0.1041100000,0.1213800000,0.7745000000,0.00015,0.46795,0.00000,0.00000,0.00000,0.00000
4,uppsala,3,SWE,3,29,0,rural_settlement,wheat,17.00001,0.81055,5,16.62558,16.62558,0.04617,0.38323,0.00000,1.10043,15.04574,0.05001,0.00000,0.00000,16.19618,16.19618,0.0027770460,0.0230506244,0.0000000000,0.0661889690,0.9049753452,0.0030080154,0.0000000000,0.9741723296,0.9741723296,clergy,clergy,0.00983,0.00000,0.04146,0.00289,0.06140,0.00000,0.25566,0.16353,0.00000,0.00000,0.00000,0.00000,0.10299,0.21917,0.00000,0.00000,0.02737,0.18182,0.16354,0.18182,2.00000,2.44472,0.00000,2.99448,0.55528,3.00000,0.00552,-1.00000,3.00000,0.55528,0.10832,3.00000,2.00000,0.55528,0.00000,1.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1.00000,0.00000,0.16114,0.00270,0.16354,0.89950,0.02737,0.12530,0.20453,0.00000,0.00000,0.02452,-0.83886,0.63967,-0.10050,0.0000000000,0.4028300000,0.1070500000,0.4901000000,0.00015,0.18182,0.00000,0.00000,0.00000,0.00000
5,kastelholm,3,SWE,3,29,0,rural_settlement,fish,16.25001,0.52744,6,5.10967,5.10967,0.01800,0.02554,0.00000,1.10158,3.91449,0.05006,0.00000,0.00000,5.06613,5.06613,0.0035227324,0.0049983658,0.0000000000,0.2155873080,0.7660944836,0.0097971102,0.0000000000,0.9914789018,0.9914789018,nobles,lower,0.02735,0.00000,0.00061,0.00123,0.03664,0.00000,0.06494,0.13976,0.00000,0.00000,0.00000,0.00000,0.00686,0.03217,0.02893,0.03217,0.00923,0.12322,0.11083,0.12322,1.00000,0.36384,1.18753,0.67222,-0.12259,0.70110,0.02888,-1.00000,0.06406,1.06494,0.70110,1.06494,4.00000,0.70110,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00270,0.13977,0.89950,0.00923,0.04885,0.20696,0.00000,0.00000,0.00638,-1.00000,2.15229,-0.10050,0.0000000000,0.1056300000,0.1421300000,0.7522300000,0.00015,0.15539,0.00000,0.00000,0.00000,0.00000
6,tierp,3,SWE,3,29,0,rural_settlement,fish,15.00001,0.52908,6,8.99759,8.99759,0.02744,0.04994,0.01001,1.10156,7.75858,0.05006,0.00000,0.00000,8.91020,8.91020,0.0030497055,0.0055503752,0.0011125201,0.1224283391,0.8622953480,0.0055637121,0.0000000000,0.9902873992,0.9902873992,nobles,lower,0.01457,0.00045,0.00162,0.00207,0.05006,0.00000,0.11066,0.13117,0.00728,0.01000,0.00899,0.01000,0.01342,0.03919,0.00000,0.00000,0.01549,0.13584,0.12218,0.13584,1.00000,0.51172,1.18753,0.49671,-0.15397,0.52184,0.02513,-0.83119,0.22161,1.03356,0.52184,1.03356,4.00000,0.52184,0.00000,1.00000,0.00000,2.00000,0.00000,0.00000,1.00000,0.00000,2.00000,0.00000,0.00000,0.00270,0.13118,0.89950,0.01549,0.07447,0.20764,0.00000,0.00000,0.01264,-1.00000,1.18543,-0.10050,0.0657800000,0.1212700000,0.1399700000,0.6729600000,0.00015,0.14584,0.00000,0.00000,0.00000,0.00000
7,heby,3,SWE,3,29,0,rural_settlement,lumber,15.00000,0.60941,5,7.97160,7.97160,0.02444,0.03985,0.00000,1.10155,6.75570,0.05006,0.00000,0.00000,7.90731,7.90731,0.0030658839,0.0049989964,0.0000000000,0.1381843043,0.8474710221,0.0062797933,0.0000000000,0.9919351197,0.9919351197,nobles,lower,0.12507,0.00000,0.00121,0.00209,0.04830,0.00000,0.09088,0.99702,0.00000,0.00000,0.00000,0.00000,0.01070,0.10630,0.09561,0.10630,0.01386,0.41198,0.37057,0.41198,1.00000,0.56533,1.18753,0.62687,0.02807,0.65027,0.02340,-1.00000,0.18595,1.21560,0.65027,1.21560,4.00000,0.65027,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00270,0.99703,0.89950,0.01386,0.06632,0.59015,0.53083,0.59015,0.01101,-1.00000,10.97084,-0.10050,0.0000000000,0.1177300000,0.1525000000,0.7297500000,0.00015,1.10843,0.00000,0.00000,0.00000,0.00000
8,nykoping,3,SWE,3,29,1,rural_settlement,fish,16.25001,0.74495,5,11.77410,11.77410,0.05561,0.07063,0.00000,1.10041,10.49744,0.05001,0.00000,0.00000,11.64786,11.64786,0.0047230786,0.0059987600,0.0000000000,0.0934602220,0.8915704810,0.0042474584,0.0000000000,0.9892781614,0.9892781614,nobles,nobles,0.01258,0.00000,0.00189,0.00205,0.11993,0.00000,0.18986,0.14812,0.00000,0.00000,0.00000,0.00000,0.01898,0.03886,0.03495,0.03886,0.01996,0.12583,0.11318,0.12583,1.00000,0.27022,1.18753,0.76594,-0.66015,0.79760,0.03166,-1.00000,0.00695,0.52738,0.79760,0.79760,1.00000,0.52738,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00270,0.14813,0.89950,0.01996,0.15092,0.21539,0.00000,0.00000,0.01711,-1.00000,0.78020,-0.10050,0.0000000000,0.0999600000,0.1051300000,0.7949000000,0.00015,0.16469,0.00000,0.00000,0.00000,0.00000
9,kolmarden,3,SWE,3,29,1,rural_settlement,marble,12.00001,0.61080,4,9.01691,9.01691,0.02253,0.04507,0.00000,1.00035,7.94896,0.00000,0.00000,0.00000,8.94931,8.94931,0.0024986387,0.0049983864,0.0000000000,0.1109415531,0.8815614218,0.0000000000,0.0000000000,0.9925029750,0.9925029750,nobles,lower,0.19677,0.00000,0.00157,0.00259,0.04207,0.00000,0.08866,1.77433,0.00000,0.00000,0.00000,0.00000,0.01211,0.30231,0.27192,0.30231,0.01541,1.15701,0.14123,0.15701,1.00000,0.96573,1.18753,0.54879,0.33767,0.55947,0.01068,-1.00000,0.37584,1.52520,0.55947,1.52520,4.00000,0.55947,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00246,1.77434,0.89950,0.01541,0.06114,1.51327,1.36118,1.51327,0.01295,-1.00000,20.01285,-0.10050,0.0000000000,0.1365800000,0.1738100000,0.6896000000,0.00000,1.97259,0.00000,0.00000,0.00000,0.00000
10,strangnas,3,SWE,3,29,1,rural_settlement,sand,13.00001,0.87209,7,9.50360,9.50360,0.02375,0.44803,0.01001,1.10151,7.87024,0.05006,0.00000,0.00000,9.02181,9.02181,0.0024990530,0.0471431878,0.0010532851,0.1159044993,0.8281324972,0.0052674776,0.0000000000,0.9493044741,0.9493044741,clergy,clergy,0.02606,0.00024,0.06973,0.00115,0.01997,0.00000,0.20780,0.24767,0.00728,0.00463,0.00416,0.00463,0.12040,0.19501,0.17541,0.19501,0.01567,0.07755,0.00000,0.00000,2.00000,2.90455,0.00000,3.00000,0.09545,3.00000,0.00000,-0.91010,3.00000,0.09545,-0.29862,3.00000,2.00000,0.09545,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.30026,0.00270,0.24768,0.89950,0.01567,0.06445,0.07572,0.06811,0.07572,0.01282,-0.69974,1.19191,-0.10050,0.0350300000,0.5794000000,0.0754000000,0.3101500000,0.00015,0.27536,0.00000,0.00000,0.00000,0.00000
