location_id,location,owner_id,owner_tag,controller_id,market_id,province_id,rank,raw_material,development,control,pop_group_count,population_total,sol_population_total,population_nobles,population_clergy,population_burghers,population_laborers,population_peasants,population_soldiers,population_tribesmen,population_slaves,population_commoners,population_lower,population_share_nobles,population_share_clergy,population_share_burghers,population_share_laborers,population_share_peasants,population_share_soldiers,population_share_tribesmen,population_share_commoners,population_share_lower,sol_class_label,sol_structural_class_label,gls_location_actual_per_capita_spending,sol_location_anchor_score_burghers,sol_location_anchor_score_clergy,sol_location_anchor_score_commoners,sol_location_anchor_score_nobles,sol_location_anchor_score_tribesmen,sol_location_base_total_spending,sol_location_baseline_total_spending,sol_location_burghers_base_spending,sol_location_burghers_income,sol_location_burghers_liquid_funds,sol_location_burghers_net_income,sol_location_clergy_base_spending,sol_location_clergy_income,sol_location_clergy_liquid_funds,sol_location_clergy_net_income,sol_location_commoners_base_spending,sol_location_commoners_income,sol_location_commoners_liquid_funds,sol_location_commoners_net_income,sol_location_demand_class,sol_location_demand_class_confidence,sol_location_demand_class_penalty_candidate,sol_location_demand_class_score,sol_location_demand_class_score_candidate,sol_location_demand_class_selected_affinity,sol_location_demand_class_selected_penalty,sol_location_demand_score_burghers,sol_location_demand_score_clergy,sol_location_demand_score_lower,sol_location_demand_score_nobles,sol_location_demand_structural_best_score,sol_location_demand_structural_class,sol_location_demand_structural_second_score,sol_location_estate_building_maintenance_burghers,sol_location_estate_building_maintenance_clergy,sol_location_estate_building_maintenance_commoners,sol_location_estate_building_maintenance_nobles,sol_location_estate_building_maintenance_tribesmen,sol_location_estate_buildings_burghers,sol_location_estate_buildings_clergy,sol_location_estate_buildings_commoners,sol_location_estate_buildings_nobles,sol_location_estate_buildings_tribesmen,sol_location_final_demand_scale,sol_location_laborers_base_spending,sol_location_liquid_funds,sol_location_liquid_funds_multiplier,sol_location_lower_base_spending,sol_location_nobles_base_spending,sol_location_nobles_income,sol_location_nobles_liquid_funds,sol_location_nobles_net_income,sol_location_peasants_base_spending,sol_location_pop_demand_modifier_size,sol_location_raw_demand_scale,sol_location_savings_pressure_adjustment,sol_location_share_burghers,sol_location_share_clergy,sol_location_share_lower,sol_location_share_nobles,sol_location_soldiers_base_spending,sol_location_total_income,sol_location_tribesmen_base_spending,sol_location_tribesmen_income,sol_location_tribesmen_liquid_funds,sol_location_tribesmen_net_income
3383,bihar,381,HUN,381,22,1280,rural_settlement,wine,17.00000,0.18420,7,21.33392,21.33392,0.05333,0.10841,0.00000,2.10059,19.02158,0.05001,0.00000,0.00000,21.17218,21.17218,0.0024997750,0.0050815790,0.0000000000,0.0984624485,0.8916120432,0.0023441543,0.0000000000,0.9924186460,0.9924186460,lower,lower,0.04012,0.00000,0.00280,0.00478,0.16365,0.00000,0.27778,0.85591,0.00000,0.00000,0.00000,0.00000,0.02802,0.15629,0.16382,0.15629,0.03654,0.11416,0.11966,0.11416,4.00000,0.45358,0.03297,0.57235,0.57235,0.60532,0.03297,-1.00000,0.15174,0.60532,0.12408,0.60532,4.00000,0.15174,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.45864,0.00520,0.85592,1.04824,0.03654,0.21322,1.54609,0.57243,0.54609,0.03119,-0.54136,3.08128,0.04824,0.0000000000,0.1008700000,0.1315400000,0.7675800000,0.00015,0.81654,0.00000,0.00000,0.00000,0.00000
3384,beius,381,HUN,381,22,1280,rural_settlement,iron,16.00000,0.01528,10,15.72132,15.72132,0.03930,0.07761,0.00000,1.10029,14.45411,0.05001,0.00000,0.00000,15.60441,15.60441,0.0024997901,0.0049366084,0.0000000000,0.0699871258,0.9193954452,0.0031810306,0.0000000000,0.9925636015,0.9925636015,lower,lower,0.08321,0.00000,0.00196,0.00343,0.12112,0.00000,0.20375,1.30827,0.00000,0.00000,0.00000,0.00000,0.02006,0.10341,0.10839,0.10341,0.02657,0.08272,0.08671,0.08272,4.00000,0.46211,0.03219,0.55921,0.55921,0.59140,0.03219,-1.00000,0.12411,0.59140,0.12929,0.59140,4.00000,0.12929,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.95576,0.00272,1.30828,1.04824,0.02657,0.15712,1.06195,1.11317,1.06195,0.02370,-0.04424,6.42100,0.04824,0.0000000000,0.0984500000,0.1304000000,0.7711400000,0.00015,1.24808,0.00000,0.00000,0.00000,0.00000
3385,cheresig,381,HUN,381,22,1280,rural_settlement,wool,17.00000,0.18423,7,23.40650,23.40650,0.08192,0.13943,0.00000,2.10059,21.03455,0.05001,0.00000,0.00000,23.18515,23.18515,0.0034998825,0.0059568923,0.0000000000,0.0897438746,0.8986627646,0.0021365860,0.0000000000,0.9905432252,0.9905432252,lower,lower,0.09460,0.00000,0.00319,0.00391,0.26588,0.00000,0.40340,2.21431,0.00000,0.00000,0.00000,0.00000,0.03604,0.19121,0.20043,0.19121,0.03984,0.11891,0.12464,0.11891,4.00000,0.01630,0.05372,0.15155,0.15155,0.20527,0.05372,-1.00000,0.02009,0.20527,0.18897,0.20527,4.00000,0.18897,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.81705,0.00520,2.21432,1.04824,0.03984,0.32752,1.80230,1.88924,1.80230,0.03449,-0.18295,5.48914,0.04824,0.0000000000,0.0893400000,0.0987600000,0.8118900000,0.00015,2.11242,0.00000,0.00000,0.00000,0.00000
3386,debrecen,381,HUN,381,22,1280,rural_settlement,beeswax,19.00001,0.18778,6,22.16557,22.16557,0.05825,0.11268,0.01000,2.10059,19.83404,0.05001,0.00000,0.00000,21.98464,21.98464,0.0026279496,0.0050835598,0.0004511501,0.0947681472,0.8948129915,0.0022562018,0.0000000000,0.9918373405,0.9918373405,lower,lower,0.01641,0.00019,0.00272,0.00464,0.17606,0.00000,0.30801,0.36373,0.00812,0.02428,0.02545,0.02428,0.02913,0.18669,0.19569,0.18669,0.03787,0.13604,0.14260,0.13604,4.00000,0.39320,0.04656,0.45392,0.45392,0.50048,0.04656,-0.82143,0.07981,0.50048,0.10728,0.50048,4.00000,0.10728,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.17578,0.00520,0.36374,1.04824,0.03787,0.23289,1.87295,0.00000,0.00000,0.03252,-0.82422,1.18093,0.04824,0.0263600000,0.0945700000,0.1229500000,0.7561100000,0.00015,0.34701,0.00000,0.00000,0.00000,0.00000
3387,oradea,381,HUN,381,22,1280,rural_settlement,wheat,17.00000,0.18421,7,22.16250,22.16250,0.05754,0.10981,0.00000,2.10059,19.84455,0.05001,0.00000,0.00000,21.99515,21.99515,0.0025962775,0.0049547659,0.0000000000,0.0947812747,0.8954111675,0.0022565144,0.0000000000,0.9924489566,0.9924489566,lower,lower,0.00570,0.00000,0.00269,0.00482,0.17859,0.00000,0.29632,0.12633,0.00000,0.00000,0.00000,0.00000,0.02838,0.06891,0.07223,0.06891,0.03789,0.05162,0.05411,0.05162,4.00000,0.42349,0.04233,0.51808,0.51808,0.56041,0.04233,-1.00000,0.09351,0.56041,0.13692,0.56041,4.00000,0.13692,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.06346,0.00520,0.12634,1.04824,0.03789,0.23005,0.70714,0.00000,0.00000,0.03254,-0.93654,0.42636,0.04824,0.0000000000,0.0957700000,0.1278600000,0.7763500000,0.00015,0.12053,0.00000,0.00000,0.00000,0.00000
3388,eger,381,HUN,381,22,1293,rural_settlement,clay,16.00000,0.64786,6,26.00982,26.00982,0.09317,0.15505,0.01000,2.10048,23.60111,0.05001,0.00000,0.00000,25.75160,25.75160,0.0035821086,0.0059612100,0.0003844702,0.0807571909,0.9073922849,0.0019227353,0.0000000000,0.9900722112,0.9900722112,lower,nobles,0.00560,0.00012,0.00344,0.00417,0.29854,0.00000,0.46475,0.14570,0.00812,0.00611,0.00640,0.00611,0.04008,0.08337,0.08739,0.08337,0.04405,0.04953,0.05191,0.04953,4.00000,0.01705,0.05368,0.10302,0.10302,0.15670,0.05368,-0.88165,-0.01541,0.15670,0.17375,0.17375,1.00000,0.15670,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.04666,0.00520,0.14571,1.04824,0.04405,0.37250,0.76511,0.00000,0.00000,0.03870,-0.95334,0.31352,0.04824,0.0174700000,0.0862300000,0.0947800000,0.8015000000,0.00015,0.13901,0.00000,0.00000,0.00000,0.00000
3389,heves,381,HUN,381,22,1293,rural_settlement,fish,20.00001,0.40706,6,22.71923,22.71923,0.05679,0.11259,0.01000,2.10060,20.38924,0.05001,0.00000,0.00000,22.53985,22.53985,0.0024996446,0.0049557137,0.0004401558,0.0924591194,0.8974441475,0.0022012190,0.0000000000,0.9921044859,0.9921044859,lower,lower,0.06064,0.00019,0.00277,0.00494,0.17010,0.00000,0.30305,1.37773,0.00812,0.01291,0.01353,0.01291,0.02910,0.11109,0.11644,0.11109,0.03878,0.07618,0.07985,0.07618,4.00000,0.46445,0.02785,0.53378,0.53378,0.56163,0.02785,-0.81852,0.09636,0.56163,0.09718,0.56163,4.00000,0.09718,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.67670,0.00520,1.37774,1.04824,0.03878,0.22705,1.11416,1.16790,1.11416,0.03343,-0.32330,4.54624,0.04824,0.0267900000,0.0960200000,0.1279600000,0.7492100000,0.00015,1.31434,0.00000,0.00000,0.00000,0.00000
3390,miskolc,381,HUN,381,22,1293,rural_settlement,stone,12.00000,0.33280,6,24.26090,24.26090,0.06299,0.12030,0.00000,2.10049,21.92711,0.05001,0.00000,0.00000,24.07761,24.07761,0.0025963588,0.0049585959,0.0000000000,0.0865792283,0.9038044755,0.0020613415,0.0000000000,0.9924450453,0.9924450453,lower,lower,0.01327,0.00000,0.00296,0.00524,0.19559,0.00000,0.32424,0.32199,0.00000,0.00000,0.00000,0.00000,0.03109,0.18000,0.18868,0.18000,0.04131,0.12719,0.13332,0.12719,4.00000,0.41736,0.04489,0.50990,0.50990,0.55479,0.04489,-1.00000,0.09477,0.55479,0.13743,0.55479,4.00000,0.13743,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.14782,0.00520,0.32200,1.04824,0.04131,0.25184,1.83211,0.00000,0.00000,0.03596,-0.85218,0.99309,0.04824,0.0000000000,0.0958800000,0.1274000000,0.7767000000,0.00015,0.30719,0.00000,0.00000,0.00000,0.00000
3391,borsod,381,HUN,381,22,1293,rural_settlement,livestock,17.00000,0.33288,6,19.61973,19.61973,0.04904,0.09709,0.00000,1.10032,18.32327,0.05001,0.00000,0.00000,19.47360,19.47360,0.0024995247,0.0049485900,0.0000000000,0.0560823212,0.9339205993,0.0025489647,0.0000000000,0.9925518853,0.9925518853,lower,lower,0.05025,0.00000,0.00244,0.00425,0.15125,0.00000,0.25407,0.98601,0.00000,0.00000,0.00000,0.00000,0.02509,0.07977,0.08361,0.07977,0.03292,0.05648,0.05920,0.05648,4.00000,0.45120,0.03399,0.54728,0.54728,0.58127,0.03399,-1.00000,0.12754,0.58127,0.13007,0.58127,4.00000,0.13007,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.57767,0.00272,0.98602,1.04824,0.03292,0.19606,0.80440,0.84320,0.80440,0.03005,-0.42233,3.88089,0.04824,0.0000000000,0.0987500000,0.1295700000,0.7716700000,0.00015,0.94065,0.00000,0.00000,0.00000,0.00000
3392,crasna,381,HUN,381,22,1277,rural_settlement,lumber,14.00000,0.01983,12,9.38440,9.38440,0.02343,0.10999,0.00000,1.10145,8.09947,0.05006,0.00000,0.00000,9.25098,9.25098,0.0024966966,0.0117205149,0.0000000000,0.1173703167,0.8630780870,0.0053343847,0.0000000000,0.9857827885,0.9857827885,clergy,clergy,0.01717,0.00000,0.00578,0.00188,0.06343,0.00000,0.13826,0.16120,0.00000,0.00000,0.00000,0.00000,0.02843,0.11529,0.12085,0.11529,0.01616,0.03851,0.04036,0.03851,2.00000,0.92139,0.00833,1.32810,0.41807,1.34779,0.01969,-1.00000,1.34779,0.42640,-0.00784,1.34779,2.00000,0.42640,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,31.59711,0.00273,0.16121,1.04824,0.01616,0.09367,0.49595,0.00000,0.00000,0.01328,30.59711,1.16599,0.04824,0.0000000000,0.2056200000,0.1168800000,0.6774900000,0.00015,0.15380,0.00000,0.00000,0.00000,0.00000
